from	to	source	database
Col1a1	Itga11	kegg_ecm	kegg
Fn1	Itgav	kegg_ecm	kegg
Spp1	Itgav	kegg_ecm	kegg
Vtn	Itgav	kegg_ecm	kegg
Fn1	Itgb7	kegg_ecm	kegg
Vtn	Itgb3	kegg_ecm	kegg
Fn1	Itgb3	kegg_ecm	kegg
Vwf	Itgav	kegg_ecm	kegg
Vwf	Itgb3	kegg_ecm	kegg
Spp1	Itgb3	kegg_ecm	kegg
Tnc	Itgav	kegg_ecm	kegg
Tnc	Itgb3	kegg_ecm	kegg
Ibsp	Itgav	kegg_ecm	kegg
Ibsp	Itgb3	kegg_ecm	kegg
Comp	Itgav	kegg_ecm	kegg
Comp	Itgb3	kegg_ecm	kegg
Vtn	Itga2b	kegg_ecm	kegg
Fn1	Itga2b	kegg_ecm	kegg
Vwf	Itga2b	kegg_ecm	kegg
Comp	Itga2b	kegg_ecm	kegg
Vtn	Itgb5	kegg_ecm	kegg
Ibsp	Itgb5	kegg_ecm	kegg
Spp1	Itgb5	kegg_ecm	kegg
Fn1	Itgb6	kegg_ecm	kegg
Tnc	Itgb6	kegg_ecm	kegg
Col1a1	Itgav	kegg_ecm	kegg
Col1a1	Itgb8	kegg_ecm	kegg
Fn1	Itgb8	kegg_ecm	kegg
Lamc3	Itgav	kegg_ecm	kegg
Lamc3	Itgb8	kegg_ecm	kegg
Vtn	Itgb8	kegg_ecm	kegg
Lamc3	Itgb4	kegg_ecm	kegg
Col1a1	Cd44	kegg_ecm	kegg
Fn1	Cd44	kegg_ecm	kegg
Lamc3	Cd44	kegg_ecm	kegg
Col1a1	Sdc1	kegg_ecm	kegg
Fn1	Sdc1	kegg_ecm	kegg
Comp	Sdc1	kegg_ecm	kegg
Tnc	Sdc1	kegg_ecm	kegg
Lamc3	Sv2c	kegg_ecm	kegg
Comp	Cd36	kegg_ecm	kegg
Vwf	Gp9	kegg_ecm	kegg
Vwf	Gp1bb	kegg_ecm	kegg
Vwf	Gp1ba	kegg_ecm	kegg
Vwf	Gp5	kegg_ecm	kegg
Col1a1	Gp6	kegg_ecm	kegg
Lamc3	Dag1	kegg_ecm	kegg
Agrn	Dag1	kegg_ecm	kegg
Hspg2	Dag1	kegg_ecm	kegg
Comp	Cd47	kegg_ecm	kegg
C3	C3ar1	pharmacology	guide2pharmacology
Adm2	Calcr	pharmacology	guide2pharmacology
Calcb	Calcr	pharmacology	guide2pharmacology
Iapp	Calcr	pharmacology	guide2pharmacology
Calca	Calcr	pharmacology	guide2pharmacology
Adm	Mrgprb1	pharmacology	guide2pharmacology
Adm	Gpr182	pharmacology	guide2pharmacology
Adm	Calcr	pharmacology	guide2pharmacology
Cort	Sstr1	pharmacology	guide2pharmacology
Cort	Sstr4	pharmacology	guide2pharmacology
Cort	Sstr5	pharmacology	guide2pharmacology
Cort	Sstr3	pharmacology	guide2pharmacology
Cort	Sstr2	pharmacology	guide2pharmacology
Cort	Mrgprb1	pharmacology	guide2pharmacology
Sst	Sstr1	pharmacology	guide2pharmacology
Sst	Sstr4	pharmacology	guide2pharmacology
Sst	Sstr5	pharmacology	guide2pharmacology
Sst	Sstr3	pharmacology	guide2pharmacology
Sst	Sstr2	pharmacology	guide2pharmacology
Ccl17	Ccr4	pharmacology	guide2pharmacology
Ccl22	Ccr4	pharmacology	guide2pharmacology
Rspo1	Lgr4	pharmacology	guide2pharmacology
Rspo1	Lgr6	pharmacology	guide2pharmacology
Rspo1	Lgr5	pharmacology	guide2pharmacology
Rspo4	Lgr4	pharmacology	guide2pharmacology
Rspo4	Lgr6	pharmacology	guide2pharmacology
Rspo4	Lgr5	pharmacology	guide2pharmacology
Rspo3	Lgr4	pharmacology	guide2pharmacology
Rspo3	Lgr6	pharmacology	guide2pharmacology
Rspo3	Lgr5	pharmacology	guide2pharmacology
Rspo2	Lgr4	pharmacology	guide2pharmacology
Rspo2	Lgr6	pharmacology	guide2pharmacology
Rspo2	Lgr5	pharmacology	guide2pharmacology
Calm1	Cnga2	pharmacology	guide2pharmacology
Calm1	Pde1c	pharmacology	guide2pharmacology
Calm1	Pde1b	pharmacology	guide2pharmacology
Calm1	Kcnh1	pharmacology	guide2pharmacology
Calm1	Mylk	pharmacology	guide2pharmacology
Calm1	Mylk2	pharmacology	guide2pharmacology
Calm1	Pde1a	pharmacology	guide2pharmacology
Calm2	Cnga2	pharmacology	guide2pharmacology
Calm2	Pde1c	pharmacology	guide2pharmacology
Calm2	Pde1b	pharmacology	guide2pharmacology
Calm2	Kcnh1	pharmacology	guide2pharmacology
Calm2	Mylk	pharmacology	guide2pharmacology
Calm2	Mylk2	pharmacology	guide2pharmacology
Calm2	Pde1a	pharmacology	guide2pharmacology
Insl3	Rxfp2	pharmacology	guide2pharmacology
Rln1	Rxfp1	pharmacology	guide2pharmacology
Rln1	Rxfp2	pharmacology	guide2pharmacology
Rln3	Rxfp3	pharmacology	guide2pharmacology
Rln3	Rxfp4	pharmacology	guide2pharmacology
Rln3	Rxfp1	pharmacology	guide2pharmacology
Rln3	Rxfp2	pharmacology	guide2pharmacology
Insl5	Rxfp3	pharmacology	guide2pharmacology
Insl5	Rxfp4	pharmacology	guide2pharmacology
Rarres2	Cmklr1	pharmacology	guide2pharmacology
Rarres2	Gpr1	pharmacology	guide2pharmacology
