Input-node Gene Symbol,Input-node GeneID,Output-node Gene Symbol,Output-node GeneID,Edge direction score
COPS4,51138,COPS5,10987,0.901
STX1A,6804,STXBP2,6813,0.895
BAT5,7920,DNAJC1,64215,0.967
HABP4,22927,YBX1,4904,0.984
GSK3B,2932,CREB1,1385,0.984
CASP8,841,STK24,8428,0.895
RNF5,6048,TGFBR1,7046,0.545
KLRK1,22914,MICB,4277,0.996
CHUK,1147,ESR1,2099,0.951
CD2,914,MXD1,4084,0.952
MAPK14,1432,NFATC1,4772,0.966
SOCS1,8651,TCEB2,6923,0.901
NOS2,4843,ACTN4,81,0.743
NCOA6,23054,RB1,5925,0.707
IGFBP3,3486,RXRA,6256,0.952
C13orf34,79866,AURKA,6790,0.895
UBB,7314,SKP2,6502,0.951
RASA1,5921,AFAP1L2,84632,0.951
CASP2,835,CSNK2A1,1457,0.951
HSP90AB1,3326,NR2C2,7182,0.984
HSP90AA1,3320,NR2C2,7182,0.984
PICK1,9463,UBQLN4,56893,0.901
PICK1,9463,ARF1,375,0.595
TSC1,7248,YWHAH,7533,0.951
KDR,3791,CBL,867,0.931
NUDT3,11165,ASB13,79754,0.558
GAB1,2549,SOS1,6654,0.798
KLC2,64837,DYNC1I1,1780,0.798
PPP6C,5537,NFKBIE,4794,0.896
CAPRIN1,4076,AKAP10,11216,0.798
DPYSL2,1808,CRMP1,1400,0.575
TGFBR1,7046,SMAD3,4088,0.984
HSP90B1,7184,POLR2E,5434,0.951
NFKBIA,4792,CUL1,8454,0.984
TCEB3B,51224,KRTAP4-12,83755,0.821
HAP1,9001,ZNF20,7568,0.984
XIAP,331,CASP9,842,0.951
PPFIBP2,8495,TSG101,7251,0.895
SGSM2,9905,GDPD2,54857,0.732
MEN1,4221,POLR2B,5431,0.895
ANK1,286,TTN,7273,0.732
SLC9A3R2,9351,ATP2B2,491,0.595
CREB3L1,90993,NFIL3,4783,0.67
CUL9,23113,KIAA1549,57670,0.862
CUL9,23113,UBE2L3,7332,0.984
MED17,9440,MED8,112950,0.513
RASIP1,54922,RRAS2,22800,0.798
BTBD2,55643,BRD7,29117,0.55
EPHA4,2043,FGFR3,2261,0.994
BRD3,8019,MAP1LC3B,81631,0.952
FYN,2534,TNK2,10188,0.902
MAPKAPK2,9261,TCF3,6929,0.984
COPS5,10987,HNF4G,3174,0.966
CRYAA,1409,BCL2L1,598,0.558
PDGFRB,5159,PIK3CA,5290,0.739
SNCA,6622,CYCS,54205,0.798
NFKB1,4790,TSC22D3,1831,0.966
RHOA,387,DVL2,1856,0.862
DLG3,1741,CNKSR2,22866,0.987
ANXA7,310,MSH2,4436,0.901
CTSB,1508,ANXA2,302,0.919
SMAD2,4087,MED15,51586,0.966
MYOD1,4654,NCOR2,9612,0.966
EP300,2033,ETV4,2118,0.984
SOX9,6662,CREBBP,1387,0.966
RGS13,6003,TOMM70A,9868,0.798
ATF7IP,55729,DISC1,27185,0.743
CALM1,801,MYOG,4656,0.984
CDC6,990,PCNA,5111,0.896
RANBP2,5903,TNPO1,3842,0.967
HNRNPK,3190,SFRS12,140890,0.984
SMG5,23381,UPF1,5976,0.895
DAP3,7818,AR,367,0.998
C8orf33,65265,ALAS1,211,0.667
RAB3D,9545,RAB3IP,117177,0.984
PTPRJ,5795,SDCBP,6386,0.998
IKBKAP,8518,CDKN2B,1030,0.743
RPS6KA1,6195,DDAH2,23564,0.966
EIF2AK2,5610,SNX5,27131,0.895
BUB3,9184,PARP1,142,0.732
RUNX1T1,862,NECAB2,54550,0.966
SLA2,84174,CBL,867,0.895
TUBB3,10381,SMN1,6606,0.743
SS18L1,26039,CREBBP,1387,0.952
PAX2,5076,MAPK8IP1,9479,0.55
TP53,7157,SETD7,80854,0.951
CPSF1,29894,TAF12,6883,0.984
SDCBP,6386,NF2,4771,0.862
SLC2A1,6513,TNFRSF1A,7132,0.721
SDF4,51150,RCC1,1104,0.798
F2RL2,2151,JAM2,58494,0.999
VIM,7431,TRIM29,23650,0.966
TUBGCP4,27229,USHBP1,83878,0.964
PIK3R1,5295,CTNNB1,1499,0.951
C7orf64,84060,ZNF24,7572,0.823
CCND1,595,SP1,6667,0.966
ARHGEF15,22899,ESR1,2099,0.951
SFRS1,6426,SNRNP70,6625,0.901
PHYHIP,9796,WDR89,112840,0.895
YAP1,10413,RUNX2,860,0.707
IGF1R,3480,YWHAB,7529,0.951
HTT,3064,REST,5978,0.984
EWSR1,2130,PDHX,8050,0.951
B2M,567,PRSS23,11098,0.743
TLR2,7097,RAC1,5879,0.928
UBL4A,8266,KPNB1,3837,0.667
TK1,7083,TTC38,55020,0.901
CHUK,1147,NCOR2,9612,0.984
IL2RB,3560,SYK,6850,0.994
TP53,7157,CDKN1A,1026,0.55
C9orf82,79886,PLCB3,5331,0.952
PTPRM,5797,CDH1,999,0.999
NOL4,8715,SNAPC5,10302,0.984
NOTCH4,4855,NFATC2,4773,1
HAAO,23498,ARHGDIA,396,0.8
HMGB1,3146,HOXD9,3235,0.984
WWC1,23286,CDC73,79577,0.902
TAF4,6874,TAF2,6873,0.984
GNB2,2783,CDKN1A,1026,0.966
SF3B3,23450,NOL12,79159,0.862
PARK2,5071,SNCAIP,9627,0.951
PCBP1,5093,TSC22D4,81628,0.936
ENG,2022,BMP7,655,0.999
ZHX1,11244,SRF,6722,0.952
EIF4EBP3,8637,EIF4E,1977,0.926
RARB,5915,NCOA1,8648,0.55
RNF11,26994,ASCC2,84164,0.862
TEK,7010,DOK2,9046,0.931
PIP4K2C,79837,HNRNPM,4670,0.743
PPARA,5465,MECR,51102,0.667
HNRNPC,3183,LMO3,55885,0.984
C7orf36,57002,BBS10,79738,0.732
POLR2G,5436,STK19,8859,0.732
GRB7,2886,MSH2,4436,0.862
EXOC7,23265,C19orf50,79036,0.901
PARP1,142,WRN,7486,0.667
PRNP,5621,SPARCL1,8404,0.994
AKAP8,10270,MYCBP,26292,0.984
TEK,7010,GRB7,2886,0.967
BRAP,8315,CENPF,1063,0.558
RGS2,5997,WDR74,54663,0.732
ZBTB16,7704,HDAC6,10013,0.883
MYCN,4613,YAF2,10138,0.55
CD22,933,GRB2,2885,0.589
FKBP8,23770,BCL2L1,598,0.798
FREQ,23413,ADRBK1,156,0.974
ZNF417,147687,ZBTB43,23099,0.707
NUMBL,9253,ATXN1,6310,0.951
RPA2,6118,RPLP1,6176,0.951
CREBBP,1387,ZNF639,51193,0.966
LEF1,51176,PITX2,5308,0.902
DNAJC10,54431,MAGEA11,4110,0.862
PABPC4,8761,SFRS12,140890,0.966
PRKCA,5578,PPARA,5465,0.951
DOCK2,1794,MCF2,4168,0.895
IRF4,3662,SPI1,6688,0.984
FAM46A,55603,EGLN2,112398,0.558
CCDC85B,11007,C20orf195,79025,0.558
ARRB1,408,CHUK,1147,0.64
DTX2,113878,TRIP13,9319,0.984
ARRB2,409,CSNK2A1,1457,0.967
CASP3,836,RAD51,5888,0.951
UBE2I,7329,TOP1,7150,0.595
GNAI1,2770,KLHL3,26249,0.952
YWHAB,7529,BID,637,0.778
TP53,7157,SIRT1,23411,0.951
IFI16,3428,ID1,3397,0.952
JAK1,3716,PTK2B,2185,0.967
TRIM24,8805,PGR,5241,0.55
CDKN1A,1026,RBBP4,5928,0.984
MEN1,4221,NFKB1,4790,0.55
TBPL1,9519,GTF2B,2959,0.707
XRCC6,2547,PDPK1,5170,0.55
CCL14,6358,CCR1,1230,0.901
PHF21A,51317,RCOR1,23186,0.902
PTPRS,5802,RAB35,11021,0.903
VIM,7431,CRCT1,54544,0.821
ITIH2,3698,ATP5C1,509,0.798
SMN1,6606,KLHL5,51088,0.952
MED1,5469,MED25,81857,0.605
AXIN1,8312,CSNK1A1,1452,0.901
GHR,2690,SOCS2,8835,0.967
ARHGEF6,9459,ZNF580,51157,0.732
STAT3,6774,MAPK8,5599,0.901
RAF1,5894,MAP2K1,5604,0.821
PARD6B,84612,PRKCG,5582,0.931
GAB2,9846,STAM2,10254,0.951
NCF4,4689,HDAC4,9759,0.984
TACR1,6869,GPRASP1,9737,0.997
ARRB2,409,CYTH2,9266,0.687
UBR1,197131,FTH1,2495,0.743
PAK2,5062,MAPK1,5594,0.901
BAX,581,BCL2,596,0.999
KIF13A,63971,GTF2H1,2965,0.8
RET,5979,GRB2,2885,0.908
SELP,6403,FUT4,2526,0.999
PDPK1,5170,PNO1,56902,0.862
RANBP2,5903,KPNB1,3837,0.967
IQGAP1,8826,APC,324,0.951
UBE2I,7329,ZNF451,26036,0.558
UBQLN4,56893,RUNX1T1,862,0.984
FZD8,8325,GOPC,57120,0.999
YWHAB,7529,CDC25A,993,0.743
HAP1,9001,ATP5J2,9551,0.936
FHL2,2274,FOXO1,2308,0.984
HIF1A,3091,EP300,2033,0.839
TNFRSF19,55504,TRAF5,7188,0.998
GRIN1,2902,DUSP4,1846,0.87
ERBB2,2064,MATK,4145,0.967
MAPT,4137,CDC2,983,0.862
HLA-C,3107,HSPA5,3309,0.857
RB1,5925,TBP,6908,0.952
CD9,928,CD36,948,0.897
NGFR,4804,SHC1,6464,0.962
PTPMT1,114971,MAPK6,5597,0.798
RASSF1,11186,XPA,7507,0.895
CTSB,1508,SPHK1,8877,0.967
AP3B1,8546,CSNK1A1,1452,0.951
GRB2,2885,OCRL,4952,0.798
CDC2,983,KIF20B,9585,0.732
BRMS1,25855,SIN3A,25942,0.984
NBN,4683,EP300,2033,0.952
APPL1,26060,RAB5A,5868,0.84
PTPN11,5781,IFNAR1,3454,0.77
CSNK2B,1460,CDKN1A,1026,0.966
CRMP1,1400,VIM,7431,0.951
CIITA,4261,KAT2B,8850,0.55
LSM1,27257,EXOSC8,11340,0.989
DCN,1634,EGFR,1956,0.87
DPPA2,151871,U2AF2,11338,0.951
DNTTIP2,30836,PPARG,5468,0.8
TRIP6,7205,GFI1B,8328,0.966
RGL2,5863,MYST2,11143,0.952
GABARAP,11337,PGS1,9489,0.798
HMOX2,3163,ITFG1,81533,0.798
TDG,6996,SNIP1,79753,0.964
SERPINB9,5272,MED31,51003,0.984
RPS6KB1,6198,MAPK1,5594,0.901
CSNK2A2,1459,MYF5,4617,0.952
ATF7IP,55729,SVEP1,79987,0.951
CRIP1,1396,HAP1,9001,0.902
MDM2,4193,TBP,6908,0.984
ITGB1BP1,9270,CAMK2A,815,0.998
ROCK1,6093,ADD1,118,0.732
MAPKSP1,8649,SUFU,51684,0.952
PCTK1,5127,YWHAG,7532,0.966
SAFB,6294,POLR2A,5430,0.902
SIN3A,25942,MXD1,4084,0.936
CENPB,1059,PARP2,10038,0.667
EPHA4,2043,FGFR4,2264,0.77
YWHAE,7531,WWTR1,25937,0.951
USP13,8975,MRPL20,55052,0.732
MELK,9833,PPP1R8,5511,0.605
CEBPG,1054,TEF,7008,0.952
CREBBP,1387,GLI3,2737,0.966
PFDN4,5203,PFDN2,5202,0.798
USP7,7874,BCOR,54880,0.951
IRS2,8660,PIK3R3,8503,0.862
MLL,4297,BMI1,648,0.745
CCR2,1231,CCL16,6360,0.637
HOMER3,9454,PAX6,5080,0.952
STXBP2,6813,GEMIN4,50628,0.798
SF3B1,23451,MELK,9833,0.558
PNRC1,10957,RORA,6095,0.984
PLEKHA4,57664,SETDB1,9869,0.964
ARFGAP1,55738,SMN1,6606,0.743
CDKN1A,1026,HMGXB3,22993,0.952
SUMO2,6613,HDAC4,9759,0.984
ZNF579,163033,NR4A1,3164,0.951
SUMO1,7341,NCOA2,10499,0.966
CD2AP,23607,WTIP,126374,0.895
GRB2,2885,PTPN1,5770,0.87
FCER1G,2207,LYN,4067,0.982
PIK3R1,5295,CD22,933,0.732
XRCC6,2547,NHP2L1,4809,0.743
TAF11,6882,TAF12,6883,0.984
PTPRK,5796,CSNK2B,1460,0.999
JAK1,3716,INPP5D,3635,0.822
MAPK1,5594,GATA1,2623,0.952
EIF3J,8669,EIF3C,8663,0.901
VHL,7428,RNF139,11236,0.895
CRY1,1407,PER1,5187,0.966
BRD7,29117,HIST4H4,121504,0.902
CABLES1,91768,CDK5,1020,0.864
ARNT,405,NCOA1,8648,0.707
HOMER1,9456,RYR2,6262,0.895
MPZL1,9019,EXOSC4,54512,0.951
ITGB1,3688,FHL2,2274,0.909
VIPR1,7433,GNAI1,2770,0.845
SYT5,6861,POLR2E,5434,0.951
DBN1,1627,SUPT5H,6829,0.55
ITGB3,3690,CAPN1,823,0.909
PTPRA,5786,KCNA2,3737,0.931
KNG1,3827,MEP1A,4224,0.568
EFNB2,1948,SDCBP,6386,0.821
PPARG,5468,NCOA3,8202,0.707
ARL5A,26225,CBX1,10951,0.964
GRM1,2911,TUBB,203068,0.967
RNF10,9921,TLE1,7088,0.707
TLR4,7099,SYK,6850,0.77
PBK,55872,TRIM37,4591,0.984
SELL,6402,MSN,4478,0.983
HAP1,9001,ZNF24,7572,0.823
FGFR3,2261,STAT3,6774,0.822
KHDRBS1,10657,STAT3,6774,0.87
FLNC,2318,KCND2,3751,0.984
PTN,5764,DNAJB11,51726,0.951
PPP1R15A,23645,MLL,4297,0.902
NGFRAP1,27018,VTA1,51534,0.967
MED24,9862,PPARG,5468,0.55
UFM1,51569,RPS6KA6,27330,0.862
RUFY1,80230,RAB4A,5867,0.951
SIN3A,25942,HDAC1,3065,0.55
IFFO1,25900,GFI1B,8328,0.896
DOM3Z,1797,EXOSC7,23016,0.798
EPHB2,2048,GRB2,2885,0.908
NTS,4922,CPE,1363,0.922
RBPMS,11030,PITX1,5307,0.952
LMNA,4000,SREBF1,6720,0.984
NCAM1,4684,BDNF,627,0.862
ARRB1,408,CLTC,1213,0.821
UTRN,7402,DTNB,1838,0.558
SERPING1,710,MASP1,5648,0.87
TRIM5,85363,BTBD1,53339,0.707
EEF1G,1937,DKC1,1736,0.901
CCL8,6355,CCR3,1232,0.65
ACTA1,58,TP53,7157,0.984
STAT3,6774,GTF2I,2969,0.743
P4HB,5034,YWHAG,7532,0.984
EDNRA,1909,EDN1,1906,0.805
PIAS1,8554,NR2F2,7026,0.966
PRKAR2A,5576,AKAP9,10142,0.902
GRAP2,9402,ZBTB7B,51043,0.984
ACTA1,58,DTNA,1837,0.966
OSTF1,26578,SMN1,6606,0.862
CBX8,57332,MLLT3,4300,0.55
DLG4,1742,ATP2B4,493,0.967
GTF2H1,2965,CDK7,1022,0.966
TP53,7157,MNAT1,4331,0.984
TGFBR2,7048,CTNNB1,1499,0.931
CLDN1,9076,BRD4,23476,0.984
NCOA1,8648,THRA,7067,0.902
LBXCOR1,390598,SOD2,6648,0.896
LEF1,51176,KPNA1,3836,0.55
CAV1,857,MAPK1,5594,0.951
C1QBP,708,MAPK1,5594,0.901
NCOA2,10499,EP300,2033,0.902
FLT3LG,2323,FLT3,2322,0.896
UBR1,197131,DNAJB11,51726,0.732
COPA,1314,ARFGAP1,55738,0.895
XRCC6,2547,HERPUD1,9709,0.901
SHC1,6464,GRAP,10750,0.862
ASGR1,432,TG,7038,0.919
SERF2,10169,MDFI,4188,0.743
FURIN,5045,ADAMTS4,9507,0.732
MEF2D,4209,SP1,6667,0.55
RARA,5914,JARID1A,5927,0.966
ROR2,4920,FZD5,7855,0.77
STOM,2040,ACCN1,40,0.919
HDAC1,3065,BAZ2A,11176,0.952
SMARCC2,6601,POLR2A,5430,0.55
CAV1,857,NEU3,10825,0.558
PTPN11,5781,SOCS3,9021,0.967
AXIN1,8312,EEF1A1,1915,0.901
FURIN,5045,NOTCH1,4851,0.681
PFN1,5216,TLE1,7088,0.984
FEZ1,9638,C1orf103,55791,0.901
CDH2,1000,RICS,9743,0.743
GNA13,10672,TGFBR1,7046,0.822
SH3GL1,6455,VIM,7431,0.743
CASR,846,FLNA,2316,1
HTR1A,3350,S1PR1,1901,0.949
IL6,3569,SH3GL2,6456,0.732
CREBBP,1387,TGS1,96764,0.547
CTSB,1508,SPRY2,10253,0.967
TCHP,84260,TEX11,56159,0.984
NCOR1,9611,HESX1,8820,0.984
PDGFRB,5159,PTK2,5747,0.988
NIF3L1,60491,PCBD1,5092,0.798
SMAD2,4087,ZNF41,7592,0.984
GADD45B,4616,PPARD,5467,0.862
CNTN1,1272,MAPK6,5597,0.951
LRSAM1,90678,KLC1,3831,0.862
BAT3,7917,CDKN1A,1026,0.966
CALM1,801,MYO9B,4650,0.798
PIAS3,10401,TBP,6908,0.952
ARNT,405,AHRR,57491,0.952
MAPK6,5597,GATA1,2623,0.952
THRB,7068,CTCF,10664,0.966
SMAD9,4093,CAMSAP1,157922,0.951
CSNK2A1,1457,FKBP3,2287,0.895
YWHAZ,7534,TLK2,11011,0.732
DBI,1622,RAD23A,5886,0.558
HMGXB4,10042,NR1H2,7376,0.743
MAP3K4,4216,GADD45G,10912,0.951
FRS3,10817,BMPR2,659,0.743
OLFM2,93145,RAB11B,9230,0.895
STAT1,6772,GTF2I,2969,0.951
HSP90AA1,3320,PDPK1,5170,0.966
BMPR1B,658,SOCS6,9306,0.916
EPHA6,285220,EFNA4,1945,0.998
TGIF2,60436,HDAC1,3065,0.984
RPS6KA1,6195,SRF,6722,0.984
LRP2,4036,LPA,4018,0.895
IGFBP3,3486,GTF3C1,2975,0.984
BMPR1B,658,PLEKHB1,58473,0.739
HNRNPA1,3178,XRN1,54464,0.901
NCOA3,8202,NR1H3,10062,0.952
TRAF2,7186,ZNF205,7755,0.996
HIST2H4A,8370,UHRF1,29128,0.984
BTK,695,GTF2I,2969,0.994
VIM,7431,CASP6,839,0.901
GSK3B,2932,DCTN3,11258,0.951
HOMER1,9456,TANC1,85461,0.558
MAPT,4137,FLJ10357,55701,0.558
NCOA2,10499,CREBBP,1387,0.707
SRF,6722,ATF6,22926,0.984
KDR,3791,ANXA5,308,0.967
AKAP5,9495,PPP3CA,5530,0.895
SMAD4,4089,JUND,3727,0.952
NRP1,8829,FGF4,2249,0.998
YWHAQ,10971,KCNK15,60598,0.798
TP53BP1,7158,PAXIP1,22976,0.952
GLYAT,10249,C7orf64,84060,0.862
CPNE2,221184,CDKN1A,1026,0.902
CDH1,999,CTNND1,1500,0.895
GRB2,2885,IRS1,3667,0.951
LRSAM1,90678,ATXN1,6310,0.743
CTSB,1508,ACAN,176,0.927
GRINL1A,81488,CEBPG,1054,0.984
PNRC1,10957,RORB,6096,0.952
FHOD1,29109,ZMYND8,23613,0.966
SNX9,51429,TNK2,10188,0.8
KCNA4,3739,INADL,10207,0.952
PKM2,5315,CDK4,1019,0.951
EPHA4,2043,EFNA3,1944,0.923
PDZD3,79849,SLC22A5,6584,0.927
MMP7,4316,SERPINA1,5265,0.798
RXRB,6257,THRA,7067,0.707
APP,351,APBB3,10307,0.926
IGF1R,3480,CSK,1445,0.951
PECAM1,5175,XRCC6,2547,0.862
GNB2L1,10399,PLEC1,5339,0.743
EXOSC7,23016,EXOSC5,56915,0.964
SETDB1,9869,HIST1H3A,8350,0.952
SF3B1,23451,U2AF2,11338,0.895
CBX1,10951,SUV39H1,6839,0.984
GRIP1,23426,PRKD2,25865,0.895
HIPK3,10114,MBD1,4152,0.902
NCOA3,8202,NCOR1,9611,0.984
JUNB,3726,BCL6,604,0.984
RAI14,26064,YWHAG,7532,0.984
LMNB1,4001,TOR1AIP1,26092,0.605
ABCA1,19,TIAM1,7074,0.743
PIK3R1,5295,PIK3CD,5293,0.883
IL8RA,3577,IL8RB,3579,0.993
EIF2AK2,5610,HSPA1A,3303,0.883
ITGAV,3685,SPP1,6696,0.87
VIM,7431,SERBP1,26135,0.951
PBX1,5087,PKNOX1,5316,0.966
MAPKAPK5,8550,EIF4E,1977,0.902
CREBBP,1387,TCF3,6929,0.55
EP300,2033,PAX8,7849,0.952
MRAS,22808,RASSF5,83593,0.964
SRC,6714,FOXO1,2308,0.984
RPS6KA2,6196,MAPK3,5595,0.951
MYBL2,4605,NCOR2,9612,0.707
ICAM1,3383,IL2RG,3561,0.692
KAT2B,8850,CTBP1,1487,0.966
CBL,867,STAT5B,6777,0.862
IMMT,10989,TNNT1,7138,0.821
CFTR,1080,PRKCA,5578,0.756
DNM2,1785,UCP2,7351,0.558
P2RY12,64805,GNAI2,2771,0.974
BMPR1A,657,SMAD1,4086,1
SNAPIN,23557,IMMT,10989,0.883
RNF11,26994,UBE2D4,51619,0.951
NSFL1C,55968,DBI,1622,0.798
EGFR,1956,YWHAZ,7534,0.756
PTGER2,5732,PTGFR,5737,0.997
SP1,6667,BCOR,54880,0.901
BMP7,655,ACVR1,90,0.845
SLC9A3R1,9368,YAP1,10413,0.862
GTPBP3,84705,CIC,23152,0.896
POLI,11201,CALCOCO2,10241,0.798
PIAS3,10401,NR3C2,4306,0.966
ARHGAP29,9411,MAGEA11,4110,0.558
BRMS1,25855,HDAC1,3065,0.984
CNTNAP2,26047,ZMIZ1,57178,0.951
DLG4,1742,KCNJ12,3768,0.967
RGS19,10287,RPS2,6187,0.862
TOLLIP,54472,XRN2,22803,0.743
NCALD,83988,NP,4860,0.902
KDR,3791,JTV1,7965,0.967
DMD,1756,KCNJ12,3768,0.558
FYB,2533,LCP2,3937,0.895
TPI1,7167,CDKN2A,1029,0.984
RANBP9,10048,AR,367,0.984
RAPSN,5913,CHRNB1,1140,0.862
PFKL,5211,ATN1,1822,0.901
NRXN1,9378,SYT9,143425,0.998
CRMP1,1400,PMF1,11243,0.952
PCNA,5111,YBX1,4904,0.966
CD247,919,CD3D,915,0.927
TJP1,7082,TJP2,9414,0.895
NCOA2,10499,RXRA,6256,0.55
NDEL1,81565,MAGEA11,4110,0.901
TRIP6,7205,FAM124B,79843,0.901
AKAP8,10270,MCM2,4171,0.951
CXCR5,643,CTR9,9646,0.998
EGFR,1956,TUBA4A,7277,0.743
HLA-DQA1,3117,TLE1,7088,0.952
IRF8,3394,IRF2,3660,0.707
CSNK2A2,1459,TCOF1,6949,0.951
KPNB1,3837,KPNA6,23633,0.984
TUBB,203068,MAP4,4134,0.901
PTPN6,5777,CD5,921,0.994
POLDIP2,26073,PCNA,5111,0.984
SRFBP1,153443,SLC2A4,6517,0.896
EPS8,2059,PCM1,5108,0.951
RAD54B,25788,MYO15B,80022,0.798
RAP1A,5906,RGL4,266747,0.732
AMOTL2,51421,KRT15,3866,0.8
ACVR2B,93,SNX1,6642,1
HOXB1,3211,MEIS1,4211,0.984
FGF2,2247,FGFR3,2261,0.814
TRAF6,7189,TRAF3IP2,10758,0.984
CHD3,1107,SERBP1,26135,0.743
RAB3B,5865,RPH3AL,9501,0.732
DLG4,1742,RICS,9743,0.967
PDCD6IP,10015,RNF11,26994,0.901
VCL,7414,DDX3X,1654,0.951
TRAF6,7189,TRAFD1,10906,0.798
COPS6,10980,ZNF24,7572,0.966
SET,6418,HIST3H3,8290,0.55
CDK3,1018,CDKN1A,1026,0.989
MVD,4597,BTAF1,9044,0.984
ATXN1,6310,RAD54L2,23132,0.901
PTK2B,2185,PRKCD,5580,0.87
GHR,2690,SHC1,6464,0.962
STX5,6811,APLP1,333,0.798
MXD1,4084,MYCL1,4610,0.952
OFD1,8481,KIAA1377,57562,0.951
PECAM1,5175,CSK,1445,0.951
ING1,3621,SIN3A,25942,0.984
EPB41L3,23136,YWHAH,7533,0.667
PJA1,64219,KIF22,3835,0.558
PTPN11,5781,MPZL1,9019,0.967
RXRG,6258,NCOR2,9612,0.707
CHUK,1147,MAP3K7,6885,0.901
TOP2A,7153,HDAC2,3066,0.984
GADD45G,10912,RXRA,6256,0.984
GAPDH,2597,PGK1,5230,0.862
CCR5,1234,STAT3,6774,0.87
TJP1,7082,GJA3,2700,0.798
ATXN1,6310,SFRS16,11129,0.901
FGG,2266,SERPINA5,5104,0.745
SULT1E1,6783,ENOX1,55068,0.798
UCHL1,7345,COPS5,10987,0.595
LDB1,8861,LMX1A,4009,0.966
ARHGEF6,9459,PAK3,5063,0.558
PHYHIP,9796,HDAC11,79885,0.732
TM4SF1,4071,DDR1,780,0.735
NPY1R,4886,PYY,5697,0.812
TTF1,7270,BAZ2A,11176,0.952
CHGB,1114,CDKN1A,1026,0.966
AP4M1,9179,GRID2,2895,0.895
SOS2,6655,CD2AP,23607,0.8
HIPK2,28996,UBE2I,7329,0.966
DRD5,1816,GABRG2,2566,0.998
MAGI1,9223,RPS6KA1,6195,0.951
EIF4E2,9470,EIF4EBP1,1978,0.798
ZMYND8,23613,RERE,473,0.966
SERBP1,26135,DAXX,1616,0.667
SCMH1,22955,TOB1,10140,0.901
KIAA1279,26128,ZNF638,27332,0.743
NR3C1,2908,NCL,4691,0.966
SFRS4,6429,HAP1,9001,0.984
FLOT2,2319,DOM3Z,1797,0.575
PICK1,9463,GRIA4,2893,0.951
MAPK1,5594,FOS,2353,0.984
MDC1,9656,EP300,2033,0.984
GABRG2,2566,PRKCA,5578,0.87
SETDB1,9869,NIPSNAP3A,25934,0.743
F2,2147,SERPINB8,5271,0.927
NFYA,4800,ZHX3,23051,0.902
HPR,3250,IGHM,3507,0.732
CBL,867,OSTF1,26578,0.951
TLR1,7096,HSP90B1,7184,1
PRLR,5618,CISH,1154,0.998
HNRNPD,3184,GSK3B,2932,0.743
IGSF21,84966,RPP14,11102,0.798
RB1,5925,RBBP9,10741,0.952
LTBR,4055,BIRC2,329,0.998
SMURF1,57154,SMAD5,4090,0.902
CRMP1,1400,NAT9,26151,0.862
RAPGEF1,2889,NEDD9,4739,0.732
SMN1,6606,GDF9,2661,0.704
HSP90AA1,3320,ESR1,2099,0.951
DNM2,1785,RYR2,6262,0.798
TSSK1B,83942,TGFBR1,7046,0.575
ING1,3621,EP300,2033,0.984
LDB1,8861,ISL1,3670,0.936
RDX,5962,CPNE4,131034,0.895
PIN1,5300,DDAH2,23564,0.984
GZMB,3002,PTK2,5747,0.967
CLTC,1213,YWHAG,7532,0.966
RAB27A,5873,C7orf64,84060,0.862
SYK,6850,MAPK3,5595,0.967
MC5R,4161,ASIP,434,0.993
HMGB1,3146,HR,55806,0.901
VIM,7431,PSMC5,5705,0.984
ZAP70,7535,ABL1,25,0.909
MED1,5469,GATA1,2623,0.55
ACTN2,88,NR1I2,8856,0.984
MET,4233,CTNNB1,1499,0.967
KIAA0408,9729,MDFI,4188,0.901
SELE,6401,VCL,7414,0.999
AKAP5,9495,GABRB3,2562,0.798
TNFSF14,8740,TNFRSF14,8764,0.862
KPNA1,3836,PAX5,5079,0.984
ATF5,22809,CDC34,997,0.707
RIMS2,9699,YWHAH,7533,0.558
DLG1,1739,PBK,55872,0.994
VIM,7431,RAD51,5888,0.901
TM4SF1,4071,DNAJA1,3301,0.999
ITPR3,3710,TRPC5,7224,0.967
BMPR1B,658,RAB25,57111,0.994
BMPR1B,658,RAB6B,51560,0.994
985,985,SKIV2L,6499,0.952
RAF1,5894,HSPA8,3312,0.901
TLR3,7098,TICAM1,148022,0.999
ITGAX,3687,JAM3,83700,0.999
DNM2,1785,MPP6,51678,0.901
KIAA0913,23053,ATXN1,6310,0.951
SNCG,6623,MAPK3,5595,0.951
HK3,3101,GRN,2896,0.862
EIF2AK2,5610,IKBKB,3551,0.901
IL3RA,3563,JAK2,3717,0.997
CD4,920,SPG21,51324,0.951
PTPRN,5798,MADD,8567,0.903
TSC2,7249,SMAD3,4088,0.966
UBE2L3,7332,SMAD4,4089,0.901
DDB2,1643,E2F1,1869,0.984
23578,23578,KLHL12,59349,0.964
NCKIPSD,51517,YWHAG,7532,0.966
NCOR1,9611,NR1D1,9572,0.936
UBA52,7311,LAPTM5,7805,0.798
FAM115A,9747,COIL,8161,0.896
KLF6,1316,TP53,7157,0.917
RYR1,6261,CRIPT,9419,0.798
CTNNB1,1499,NR5A1,2516,0.984
TUBA1B,10376,HDAC6,10013,0.862
KRT5,3852,ALOX12B,242,0.798
MAPT,4137,OGT,8473,0.951
EP300,2033,CITED4,163732,0.862
KSR1,8844,NME1,4830,0.798
HSPB1,3315,NFKBIA,4792,0.778
