Input-node Gene Symbol,Input-node GeneID,Output-node Gene Symbol,Output-node GeneID,Edge direction score
TK1,7083,TCTEX1D2,255758,0.667
TRAF2,7186,MAP3K7IP1,10454,0.988
LCK,3932,CTNND2,1501,0.951
C1D,10438,TSNAX,7257,0.732
SMAD1,4086,SMAD5,4090,0.55
PMCH,5367,PCSK6,5046,0.951
TSPYL2,64061,APTX,54840,0.895
ATXN1,6310,CIC,23152,0.902
FCGR3A,2214,PTPRC,5788,0.998
STUB1,10273,UBE2D1,7321,0.998
KCNJ11,3767,AP2M1,1173,0.798
PTMA,5757,SET,6418,0.984
HBA1,3039,NAP1L1,4673,0.667
CAV1,857,STRN4,29888,0.743
RAB5B,5869,RIN1,9610,0.558
ITGB4,3691,YWHAB,7529,0.994
MRFAP1,93621,MORF4L1,10933,0.984
SOSTDC1,25928,BMP2,650,0.558
TXNIP,10628,ZBTB32,27033,0.984
GRM5,2915,PRKCD,5580,0.909
TNFRSF10A,8797,MADD,8567,0.999
PTPN6,5777,LCK,3932,0.994
PRKAA1,5562,RAF1,5894,0.558
PTPRJ,5795,LAT,27040,0.998
NR5A1,2516,GTF2B,2959,0.823
PRKCA,5578,RAF1,5894,0.901
EDA,1896,FURIN,5045,0.837
ARHGEF1,9138,UNK,85451,0.558
MET,4233,PLCG1,5335,0.982
SRC,6714,NOS2,4843,0.743
SCMH1,22955,LYPLA2,11313,0.862
CTNNB1,1499,AXIN2,8313,0.798
ARRB1,408,YAF2,10138,0.966
HRAS,3265,ARAF,369,0.743
PRKAR2B,5577,AKAP9,10142,0.823
ITGA2,3673,HSPG2,3339,0.999
JUN,3725,NFE2L1,4779,0.902
HEY1,23462,GATA1,2623,0.707
GNB1,2782,RASD1,51655,0.798
LAMA4,3910,ZHX1,11244,0.901
RAF1,5894,CDC25A,993,0.901
MAP2K7,5609,CNKSR1,10256,0.732
RASA1,5921,KHDRBS1,10657,0.743
MDM2,4193,TAF1,6872,0.984
SH3GL1,6455,PTPN23,25930,0.558
MAPK8IP2,23542,MAPK8IP1,9479,0.902
C11orf59,55004,EEF1A1,1915,0.558
MAP3K10,4294,PHB,5245,0.862
C7orf36,57002,KIAA1377,57562,0.895
CSNK2A1,1457,RELA,5970,0.901
NRP2,8828,VEGFA,7422,0.998
NTRK2,4915,SHC3,53358,0.995
RPL10,6134,TBPL1,9519,0.984
PDLIM7,9260,PCBP1,5093,0.951
PTN,5764,PPP2CA,5515,0.743
ACE2,59272,AGT,183,0.922
ERBB2,2064,PIK3R1,5295,0.962
SYNJ1,8867,SH3GL1,6455,0.798
GNB2L1,10399,TUBB,203068,0.901
IL4R,3566,IL2RG,3561,0.77
SPP1,6696,UBQLN4,56893,0.901
MUC1,4582,SRC,6714,0.901
RAB11A,8766,CHMP1B,57132,0.952
TNNT1,7138,HAP1,9001,0.984
ELK1,2002,CREBBP,1387,0.984
SNRPD3,6634,WDR77,79084,0.732
EHMT2,10919,E4F1,1877,0.902
FHL3,2275,RFX6,222546,0.951
TP73,7161,MYC,4609,0.984
NFATC2,4773,LITAF,9516,0.902
PRKAR1A,5573,AKAP11,11215,0.895
SERPIND1,3053,ELA2,1991,0.895
EDN1,1906,COPS6,10980,0.951
TUB,7275,SRC,6714,0.951
TK1,7083,ASNA1,439,0.901
